company name,CVR
LBN MEDICAL ApS,27098290
LeadFamly ApS,36986476
Leapwork A/S,36924225
Learningbank A/S,32353606
Lego Fonden,12458339
LEGO HOUSE,16632635
Lego System A/S,47458714
LEGOLAND ApS,36887613
Lenus eHealth ApS,38168495
LEO Pharma A/S,56759514
Letz Sushi ApS,10107423
LINAK A/S,66365328
Linkfire ApS,35835431
Lin´s ApS,37785393
LiqTech Ceramics A/S,41038071
Little Green Pharma Denmark ApS,38947737
Liveintent ApS,37234052
Lloyd's Register EMEA,20646411
LM Wind Power A/S,76490511
Lobyco A/S,41480025
Logic Artists ApS,33881797
Logpoint A/S,26301939
L'oréal Danmark A/S,70710218
Louis Nielsen A/S,13613575
Lucky Sushi v/ Xiaoying Wu,30379527
Lunar Way A/S,36982837
"L&T TECHNOLOGY SERVICES DANMARK, FILIAL AF L&T TECHNOLOGY",35407405
"LTIMindtree Danmark, Filial af LTIMindtree Ltd Indien",29535809
Lyngby Boldklub A/S,30616065
MACARTNEY A/S,84164828
Maersk Agency Denmark A/S,84097128
Maersk Air Crew & Training Company A/S,43048856
Maersk Supply Service A/S,31414377
Maersk Tankers,28673590
Malerfirmaet Petersen & Andersen A/S,16174602
"MAN Energy Solutions, filial af MAN Energy Solutions SE, TYSKLAND",31611792
MAREL A/S,25013719
Marel Salmon A/S,66309711
Mars Danmark A/S,63203211
Martin Bencher (Scandinavia) A/S,21199109
Mastercard Payment Services Denmark A/S,40695869
Mate.Bike International ApS,37934208
Mazars Statsautoriseret Revisionspartnerselskab,31061741
MB FOOD A/S,31766605
McKinsey & Company Denmark P/S,32284671
"MDE Consultants, filial af MDE Consultants LTD, United Kingdom",40797181
Mercury Engineering ApS,37369101
Mermaid Medical A/S,27924492
Meyers A/S,41810556
MFT Energy A/S,38175130
Microsoft Danmark ApS,13612870
Microsoft Development Center Copenhagen ApS,76247218
Mikkelsen Electronics A/S,15603712
Milestone Systems A/S,20341130
Miso Film ApS,28097417
Mobile Industrial Robots A/S,35251235
MobilePay A/S,26045231
MobilePay Denmark A/S,38292188
Moch A/S,25397096
MOE A/S,64045628
MOL Chemical Tankers Europe A/S,17952072
Momondo A/S,20181397
Monstarlab Denmark ApS,25080726
Monta ApS,41668385
MOOD ApS,35482679
MOMENT A/S,25328949
Motorola A/S,10290813
MovieStarPlanet ApS,31269008
Muehlhan A/S,26244218
Muehlhan Wind Service A/S,38568183
MultiQ Denmark A/S,25493877
Muna Therapeutics ApS,41142871
Munck Forsyningsledninger A/S,10977134
MyDefence A/S,35530843
National Oilwell Varco Denmark I/S,24255298
Nails Gallery ApS,37553751
Nationalt Genom Center,39851490
NATURE ENERGY BIOGAS A/S,34614091
NBE PRODUCTION A/S,34890323
Nel Hydrogen A/S,26933048
Nestlé Danmark A/S,38688928
Netcompany A/S,14814833
NETS Denmark A/S,20016175
Neurons Inc. ApS,35205667
Newsec Advisory A/S,32271316
New Day Restaurants ApS,37345210
Nexel A/S,20214414
NGF Partnership K/S,39376989
NH Bemanding ApS,38792334
Niels Brock Copenhagen Business College,60798419
NILFISK A/S,62572213
NIL Technology ApS,29310203
NKT CABLES GROUP A/S,15515872
NKT (Denmark) A/S,25711548
NKT Photonics A/S,10048265
NLMK Dansteel A/S,10092922
NNE A/S,13246009
NNIT A/S,21093106
NoA Connect A/S,40564039
Noble Drilling A/S,32673821
Noble Resources Limited,35430172
Nokia Denmark A/S,13680531
Noma af 2003 ApS,27394698
NORDBO ROBOTICS A/S,34697728
"Nordea Danmark, Filial af Nordea Bank Abp, Finland",25992180
NORDEA INVESTMENT MANAGEMENT AB,28715560
Nordgreen ApS,38694243
Nordic RCC A/S,42882585
NORDIC RENTALS A/S,32893430
Nordisk Film Shortcut A/S,16312304
NORDISK SVEJSE KONTROL A/S,25595831
Nordlux A/S,10216990
Norlys Energy Trading A/S,41419849
Northern Partners ApS,39608723
Northern Partners Contracting ApS,43152157
NorSea Denmark A/S,49677715
Novenco Marine & Offshore A/S,33785682
Novicell ApS,20297743
Novo Holdings A/S,24257630
Novo Nordisk A/S,24256790
Novo Nordisk Fonden,10582989
Novo Nordisk Denmark A/S,38180045
Novozymes A/S,10007127
NREP A/S,29168709
NRT-Nordisk Røntgen Teknik A/S,26132649
NTT DATA Business Solutions A/S,26901448
Nuuday A/S,40075291
Næstved Boldklub A/S,10478006
Nørrebro Apotek v/Majid Sairafianpour,32164889
Oaxaca Group ApS,36917555
Ocean ApS,38556746
Odense Hospital Project Team Joint Venture I/S,39302675
Odense Sport & Event A/S,71172112
Offshore Helicopter Services Denmark A/S,41526211
OILFIELD SOLUTIONS ApS,31613027
Omada Services A/S,28133618
Omnidocs A/S,35679529
One.com A/S,28677138
ONNEC Denmark ApS,38724290
OnRobot A/S,36492449
Orana Denmark A/S,38300288
Orbital Express Launch ApS,38106260
Oticon A/S,42334219
OTIS A/S,32349110
Ove Arup & Partners Danmark A/S,18530775
Oxfam IBIS,88136411
OXYMAT A/S,25281675
Pandora A/S,28505116
Pandora Int. ApS,21410276
Parken Sport & Entertainment A/S,15107707
Penni ApS,38164295
Penneo ApS,35633766
Persequor ApS,38102907
Per Aarsleff A/S,37542784
PFP A/S,10010691
Philip Morris ApS,25797922
Philips Danmark A/S,43253018
Phillips-Medisize A/S,24053415
Pho Hanoi ApS,43360418
Phoenix X A/S,43268570
Pierre.dk Autolakering A/S,15000295
Piscibus ApS,43559842
Planday A/S,27666248
Plant Supervision Denmark ApS,37437212
Playdead ApS,30522192
Pleo Technologies ApS,36538686
PLH ARKITEKTER A/S,27919502
Podimo ApS,40447024
POPL Burger ApS,37427519
Post Danmark A/S,26663903
Powermart ApS,36201770
P.P. BROLÆGNING A/S,13959684
Presafe Denmark A/S,34080771
PRICEWATERHOUSECOOPERS STATSAUTORISERET REVISIONSPARTNERSELSKAB,33771231
PROJECTUM ApS,27583598
Proper ApS,39016869
Publicis Denmark A/S,25298977
Qiagen Aarhus A/S,28305087
Qualiware ApS,30731557
Queue-IT ApS,33052901
Radiometer Medical ApS,27509185
Rambøll Arkitekter A/S,41904070
Rambøll Danmark A/S,35128417
Rambøll Gruppen A/S,10160669
Rambøll Management Consulting A/S,60997918
Ramos Ferreira Danmark ApS,38619276
Randers FC A/S,83940816
Randstad A/S,25050541
Raw Power Games ApS,41456841
RDT Ingeniører ApS,39519348
Space10 ApS,36692235
Red Associates A/S,28325290
Red Barnet,63407216
Rederiet A. P. Møller A/S,37048119
RedFin Contracting Solutions ApS,41478810
Region Hovedstaden,29190623
Region Midtjylland,29190925
Region Syddanmark,29190909
Relæ ApS,32669182
Renlig.dk ApS,41050241
RESOLUX ApS,27180663
"Rizzani de Eccher Denmark, filial af Rizzani de Eccher S.p.A., Italy",38099817
Robert Bosch A/S,55112819
Roche A/S. Medicinalvarer & Kemikalier,25230515
ROCKWOOL Danmark A/S,42391719
Rockwool International A/S,54879415
